# Reviewed speaker-level retypings, 2026-09 (AUREO-568 sibling pass).
#
# Source: pnpm speaker-level-audit --tsv
# Apply:  pnpm speaker-level:apply --rows docs/reviews/2026-09-speaker-level.tsv --apply
#
# Columns: slug<TAB>port<TAB>current type<TAB>connection
#
# The audit returned 231 rows. 227 are accepted below. The four rejected are
# recorded here with their reason so the next pass does not re-litigate them:
#
#   kef-coda-w / USB-C Inter-Speaker Link          REJECT (typed usb)
#   kef-lsx-2-lt / Inter-Speaker USB-C             REJECT (typed usb)
#     Both are POWERED speakers ("all-in-one wireless bookshelf speaker
#     system ... 70W + ..."), so the link between the two cabinets carries
#     a digital signal over USB-C, not an amplified one. `usb` is correct.
#
#   blackstar-unity / Cabinet Link (XLR)           REJECT (stays line)
#     Unity Pro Bass are bass COMBOS, so the cabinet link leaves a powered
#     unit, and every other port on the entry is line or instrument. A
#     speaker-level feed on XLR would be unusual enough to need a manual
#     to confirm, and nothing in the entry does.
#
#   ik-multimedia-tonex-capture / Cabinet Output   REJECT (needs /io-enrich)
#     This one is probably speaker-level, and that is exactly why it is not
#     in a mechanical sweep. TONEX Capture sits between an amp and its cab,
#     so "FROM AMP Input" carries the same amplified signal as "Cabinet
#     Output" — but the audit only matches the port whose NAME says cabinet,
#     so accepting this row alone would leave one end of one signal path
#     retyped and the other still `line`. The entry needs both ports looked
#     at together against the manual.
aguilar-db-115	Speaker Input	line	1/4-inch
aguilar-db-210	Speaker Input	line	1/4-inch
aguilar-db-410	Speaker Input	line	1/4-inch
aguilar-tone-hammer-700	Speaker Output	line	speakon
ampeg-rb-115	Extension Speaker Output	line	1/4-inch
ampeg-rb-210	Extension Speaker Output	line	1/4-inch
ampeg-svt-3pro	1/4" Speaker Output	line	1/4-inch
ampeg-svt-4pro	Speaker Output A (1/4")	line	1/4-inch
ampeg-svt-4pro	Speaker Output B (1/4")	line	1/4-inch
ampeg-v-4b	Speaker Output	line	1/4-inch
blackstar-carmen-vandenberg-cv10	Speaker Output 16 Ohm (A)	line	1/4-inch
blackstar-carmen-vandenberg-cv10	Speaker Output 8 Ohm	line	1/4-inch
blackstar-carmen-vandenberg-cv10	Speaker Output 16 Ohm (B)	line	1/4-inch
blackstar-debut-100rh-212v	Speaker Output 16 Ohm	line	1/4-inch
blackstar-debut-100rh-212v	Speaker Output 8 Ohm	line	1/4-inch
blackstar-dept-10-amped-1	Speaker Output (8/16 Ohm)	line	1/4-inch
blackstar-dept-10-amped-2	Speaker Output (8/16 Ohm)	line	1/4-inch
blackstar-dept-10-amped-3	Speaker Output (8 Ohm)	line	1/4-inch
blackstar-dept-10-amped-3	Speaker Output (16 Ohm)	line	1/4-inch
blackstar-fly-bass	FLY 103 Extension Speaker Out	line	1/8-inch
